Session ID: e260ec0e-4b41-4306-932d-5ad3a804f0bb
CHEF iQ Probe Data
Probe Name: Probe 1
Cook Name: 
Target temperature: 205 (deg F)
Remove from heat temperature: 205 (deg F)
Peak temperature: 170.24 (deg F)
Total cook time: 1m 24s
Created at: 05/31/2026 10:56:25 AM


Date,Time,Internal Temperature (deg F),Ambient Temperature (deg F),Tip 1 (deg F),Tip 2 (deg F),Tip 3 (deg F),Tip 4 (deg F),Elapsed Time
05/31/2026,10:56:25 AM,169.7,219.92,170.24,169.7,170.06,174.02,0
05/31/2026,10:56:30 AM,169.88,221.36,170.24,169.88,170.24,174.38,5
05/31/2026,10:56:35 AM,169.88,222.62,170.24,169.88,170.24,174.38,10
05/31/2026,10:56:40 AM,169.88,224.06,170.24,169.88,170.42,174.74,15
05/31/2026,10:56:45 AM,169.88,225.68,170.24,169.88,170.42,174.92,20
05/31/2026,10:56:50 AM,169.88,225.68,170.24,169.88,170.42,174.92,25
05/31/2026,10:56:55 AM,169.88,227.48,170.24,169.88,170.6,175.1,30
05/31/2026,10:57:00 AM,169.88,229.1,170.24,169.88,170.42,175.28,35
05/31/2026,10:57:05 AM,170.06,230.72,170.42,170.06,170.6,175.46,40
05/31/2026,10:57:10 AM,170.06,231.8,170.42,170.06,170.6,175.82,45
05/31/2026,10:57:15 AM,170.06,232.88,170.42,170.06,170.78,176,50
05/31/2026,10:57:20 AM,170.06,234.5,170.42,170.06,170.78,176.18,55
05/31/2026,10:57:25 AM,170.24,235.76,170.42,170.24,170.96,176.36,60
05/31/2026,10:57:30 AM,170.24,237.2,170.42,170.24,170.96,176.54,65
05/31/2026,10:57:35 AM,170.24,238.28,170.42,170.24,171.14,176.72,70
05/31/2026,10:57:50 AM,170.24,240.8,170.42,170.42,171.32,177.44,84
